居民点序号	人口数量(人)	"居民点属性(2代表该居民点内建有仓库，1代表该居民点是1级居民点,是建新仓库的候选位置,0代表该居民点内既没有仓库,以后也不会建仓库）"													
1	71477	0													
2	81459	1													
3	48458	0													
4	33362	0													
5	35818	0													
6	87680	1													
7	13038	0													
8	54162	0													
9	43533	0													
10	48206	0													
11	14446	0													
12	20676	0													
13	81671	1													
14	14905	0													
15	80320	1													
16	43738	0													
17	45142	0													
18	42644	0													
19	31537	0													
20	64037	0													
21	43192	0													
22	57641	0													
23	69217	0													
24	56815	0													
25	49376	0													
26	76012	1													
27	26464	0													
28	30472	0													
29	46327	0													
30	13070	0													
31	61854	0													
32	38349	0													
33	43177	0													
34	38545	0													
35	89748	1													
36	37836	0													
37	49678	0													
38	40016	0													
39	53252	0													
40	50926	0													
41	64763	0													
42	26200	0													
43	43067	0													
44	13676	0													
45	55285	0													
46	68754	0													
47	58169	0													
48	33256	0													
49	60270	0													
50	39394	0													
51	46784	0													
52	59726	0													
53	17412	0													
54	32187	0													
55	41074	0													
56	55307	0													
57	45487	0													
58	46838	0													
59	40341	0													
60	86609	1													
61	56408	0													
62	30594	0													
63	58365	0													
64	7289	0													
65	68208	0													
66	6822	0													
67	61947	0													
68	16429	0													
69	45632	0													
70	23736	0													
71	54552	0													
72	36546	0													
73	41105	0													
74	84544	1													
75	29780	0													
76	66978	0													
77	34665	0													
78	41988	0													
79	75401	1													
80	59564	0													
81	58855	0													
82	73085	0													
83	38238	0													
84	46667	0													
85	57927	0													
86	54510	0													
87	68340	0													
88	14807	0													
89	31849	0													
90	24774	0													
91	19065	0													
92	61761	0													
93	41146	0													
94	28874	0													
95	46003	0													
96	15228	0													
97	25534	0													
98	56248	0													
99	15397	0													
100	80076	1													
101	23703	0													
102	48898	0													
103	35503	0													
104	46602	0													
105	58239	0													
106	74467	1													
107	74305	1													
108	41475	0													
109	46409	0													
110	54887	0													
111	83190	1													
112	67990	0													
113	17222	0													
114	35330	0													
115	27494	0													
116	31193	0													
117	64328	0													
118	40611	0													
119	82000	1													
120	60517	0													
121	56424	0													
122	91905	1													
123	42197	0													
124	57376	0													
125	62245	0													
126	37136	0													
127	53735	0													
128	21643	0													
129	70671	0													
130	87965	2													
131	56160	0													
132	6233	0													
133	87630	1													
134	24399	0													
135	24613	0													
136	32770	0													
137	44619	0													
138	22230	0													
139	110980	1													
140	31363	0													
141	67691	0													
142	63694	0													
143	33068	0													
144	31598	0													
145	83639	1													
146	64500	0													
147	27976	0													
148	44400	0													
149	47743	0													
150	62755	0													
151	69539	0													
152	70059	0													
153	69502	0													
154	55955	0													
155	83651	1													
156	33173	0													
157	91637	1													
158	63583	0													
159	79172	1													
160	45575	0													
161	34524	0													
162	60772	0													
163	59532	0													
164	59801	0													
165	54117	0													
166	63605	0													
167	60000	0													
168	34607	0													
169	22663	0													
170	59170	0													
171	53447	0													
172	59911	0													
173	20323	0													
174	37066	0													
175	53997	0													
176	76897	1													
177	26044	0													
178	52622	0													
179	54387	0													
180	55713	0													
181	33788	0													
182	33665	0													
183	39030	0													
184	51374	0													
185	59732	0													
186	91365	1													
187	18031	0													
188	69824	0													
189	70865	0													
190	47984	0													
191	31045	0													
192	43068	0													
193	43275	0													
194	61563	0													
195	54882	0													
196	64326	0													
197	48400	0													
198	61716	0													
199	48049	0													
200	85851	1													
201	35903	0													
202	64659	0													
203	95110	1													
204	38374	0													
205	51412	0													
206	65384	0													
207	51807	0													
208	69080	0													
209	55923	0													
210	77341	1													
211	45675	0													
212	15435	0													
213	65787	0													
214	42796	0													
215	50943	0													
216	62623	0													
217	11207	0													
218	42814	0													
219	61750	0													
220	4387	0													
221	27663	0													
222	33670	0													
223	40293	0													
224	63300	0													
225	23434	0													
226	47477	0													
227	62658	0													
228	59400	0													
229	51270	0													
230	61125	0													
231	81512	1													
232	52513	0													
233	82512	1													
234	85996	1													
235	40373	0													
236	42149	0													
237	62148	0													
238	34969	0													
239	16893	0													
240	55435	0													
241	58709	0													
242	53944	0													
243	30760	0													
244	42156	0													
245	70606	0													
246	53600	0													
247	46135	0													
248	38519	0													
249	42736	0													
250	50595	0													
251	56082	0													
252	35958	0													
253	30084	0													
254	50877	0													
255	53261	0													
256	50684	0													
257	37685	0													
258	16800	0													
259	46566	0													
260	67315	0													
261	86215	1													
262	60334	0													
263	56721	0													
264	59256	0													
265	52161	0													
266	33751	0													
267	37809	0													
268	27043	0													
269	47085	0													
270	53680	0													
271	66811	0													
272	41828	0													
273	30827	0													
274	56536	0													
275	21273	0													
276	29141	0													
277	17895	0													
278	51181	0													
279	56542	0													
280	29828	0													
281	45328	0													
282	62958	0													
283	54653	0													
284	44438	0													
285	51263	0													
286	46588	0													
287	24344	0													
288	60138	0													
289	65520	0													
290	55060	0													
291	57030	0													
292	57904	0													
293	56848	0													
294	40910	0													
295	58008	0													
296	59905	0													
297	77538	1													
298	16185	0													
299	19362	0													
300	63112	0													
301	72656	0													
302	56324	0													
303	26051	0													
304	38553	0													
305	70274	0													
306	74644	1													
